date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:15:07	179/179	---M--	403	error ('Forbidden')	text/html	date:Sun,%2015%20Mar%202026%2019:45:08%20GMT	https://www.magnum4d.my/assets/images/cross-bold.svg	www.magnum4d.my/assets/images/cross-bold.svg	(from https://www.magnum4d.my/)
01:15:08	179/179	---M--	403	error ('Forbidden')	text/html	date:Sun,%2015%20Mar%202026%2019:45:09%20GMT	https://www.magnum4d.my/assets/images/globe.svg	www.magnum4d.my/assets/images/globe.svg	(from https://www.magnum4d.my/)
01:15:09	179/179	---M--	403	error ('Forbidden')	text/html	date:Sun,%2015%20Mar%202026%2019:45:10%20GMT	https://www.magnum4d.my/assets/images/search-thin.svg	www.magnum4d.my/assets/images/search-thin.svg	(from https://www.magnum4d.my/)
01:15:10	179/179	---M--	403	error ('Forbidden')	text/html	date:Sun,%2015%20Mar%202026%2019:45:11%20GMT	https://www.magnum4d.my/assets/images/4d-classic.png	www.magnum4d.my/assets/images/4d-classic.png	(from https://www.magnum4d.my/)
01:15:11	179/179	---M--	403	error ('Forbidden')	text/html	date:Sun,%2015%20Mar%202026%2019:45:12%20GMT	https://www.magnum4d.my/assets/images/4d-jackpot.png	www.magnum4d.my/assets/images/4d-jackpot.png	(from https://www.magnum4d.my/)
01:15:12	179/179	---M--	403	error ('Forbidden')	text/html	date:Sun,%2015%20Mar%202026%2019:45:13%20GMT	https://www.magnum4d.my/assets/images/mgold.png	www.magnum4d.my/assets/images/mgold.png	(from https://www.magnum4d.my/)
01:15:13	179/179	---M--	403	error ('Forbidden')	text/html	date:Sun,%2015%20Mar%202026%2019:45:14%20GMT	https://www.magnum4d.my/assets/images/4d-jackpot-gold.png	www.magnum4d.my/assets/images/4d-jackpot-gold.png	(from https://www.magnum4d.my/)
01:15:14	179/179	---M--	403	error ('Forbidden')	text/html	date:Sun,%2015%20Mar%202026%2019:45:15%20GMT	https://www.magnum4d.my/assets/images/magnum-life.png	www.magnum4d.my/assets/images/magnum-life.png	(from https://www.magnum4d.my/)
01:15:15	179/179	---M--	403	error ('Forbidden')	text/html	date:Sun,%2015%20Mar%202026%2019:45:16%20GMT	https://www.magnum4d.my/assets/images/outline-plus-orange.svg	www.magnum4d.my/assets/images/outline-plus-orange.svg	(from https://www.magnum4d.my/)
01:15:16	179/179	---M--	403	error ('Forbidden')	text/html	date:Sun,%2015%20Mar%202026%2019:45:17%20GMT	https://www.magnum4d.my/assets/images/cross.svg	www.magnum4d.my/assets/images/cross.svg	(from https://www.magnum4d.my/)
01:15:17	179/179	---M--	403	error ('Forbidden')	text/html	date:Sun,%2015%20Mar%202026%2019:45:18%20GMT	https://www.magnum4d.my/location?filters.searchLocation=&filters.fiftyThousandLimit=fiftyThousandLimit&filters.fiftyThousandLimit=fiftyThousandLimit	www.magnum4d.my/location0b9e	(from https://www.magnum4d.my/)
01:15:18	179/179	---M--	403	error ('Forbidden')	text/html	date:Sun,%2015%20Mar%202026%2019:45:19%20GMT	https://www.magnum4d.my/location?filters.searchLocation=&filters.moreThanFiftyThousand%2522=moreThanFiftyThousand&filters.moreThanFiftyThousand=moreThanFiftyThousand	www.magnum4d.my/location0137	(from https://www.magnum4d.my/)
01:15:19	179/179	---M--	403	error ('Forbidden')	text/html	date:Sun,%2015%20Mar%202026%2019:45:20%20GMT	https://www.magnum4d.my/location?filters.searchLocation=&filters.phgSwkHundredThousandLimitOnly=phgSwkHundredThousandLimitOnly&filters.phgSwkHundredThousandLimitOnly=phgSwkHundredThousandLimitOnly	www.magnum4d.my/location3e12	(from https://www.magnum4d.my/)
01:15:20	179/179	---M--	403	error ('Forbidden')	text/html	date:Sun,%2015%20Mar%202026%2019:45:21%20GMT	https://www.magnum4d.my/location?filters.searchLocation=&filters.isHQ=true	www.magnum4d.my/location72c4	(from https://www.magnum4d.my/)
01:15:21	179/179	---M--	403	error ('Forbidden')	text/html	date:Sun,%2015%20Mar%202026%2019:45:22%20GMT	https://www.magnum4d.my/assets/images/help-circle.svg	www.magnum4d.my/assets/images/help-circle.svg	(from https://www.magnum4d.my/)
01:15:22	179/179	---M--	403	error ('Forbidden')	text/html	date:Sun,%2015%20Mar%202026%2019:45:23%20GMT	https://www.magnum4d.my/assets/images/spinner-graphic.svg	www.magnum4d.my/assets/images/spinner-graphic.svg	(from https://www.magnum4d.my/)
01:15:23	179/179	---M--	403	error ('Forbidden')	text/html	date:Sun,%2015%20Mar%202026%2019:45:24%20GMT	https://www.magnum4d.my/my-magnum-4d-app	www.magnum4d.my/my-magnum-4d-app	(from https://www.magnum4d.my/)
01:15:24	179/179	---M--	403	error ('Forbidden')	text/html	date:Sun,%2015%20Mar%202026%2019:45:25%20GMT	https://www.magnum4d.my/assets/images/cross-white.svg	www.magnum4d.my/assets/images/cross-white.svg	(from https://www.magnum4d.my/)
01:15:25	179/179	---M--	403	error ('Forbidden')	text/html	date:Sun,%2015%20Mar%202026%2019:45:26%20GMT	https://www.magnum4d.my/assets/images/arrow-right-orange.svg	www.magnum4d.my/assets/images/arrow-right-orange.svg	(from https://www.magnum4d.my/)
01:15:26	179/179	---M--	403	error ('Forbidden')	text/html	date:Sun,%2015%20Mar%202026%2019:45:27%20GMT	https://www.magnum4d.my/assets/js/flatpickr.min.js	www.magnum4d.my/assets/js/flatpickr.min.js	(from https://www.magnum4d.my/)
01:15:27	179/179	---M--	403	error ('Forbidden')	text/html	date:Sun,%2015%20Mar%202026%2019:45:28%20GMT	https://www.magnum4d.my/golden-fortune-rush-2026	www.magnum4d.my/golden-fortune-rush-2026	(from https://www.magnum4d.my/)
01:15:28	179/179	---M--	403	error ('Forbidden')	text/html	date:Sun,%2015%20Mar%202026%2019:45:29%20GMT	https://www.magnum4d.my/fortune-monday-campaign-2026-01	www.magnum4d.my/fortune-monday-campaign-2026-01	(from https://www.magnum4d.my/)
01:15:29	179/179	---M--	403	error ('Forbidden')	text/html	date:Sun,%2015%20Mar%202026%2019:45:30%20GMT	https://www.magnum4d.my/exciting-new-community-projects-on-projectmagnumhearts-2025-12	www.magnum4d.my/exciting-new-community-projects-on-projectmagnumhearts-2025-12	(from https://www.magnum4d.my/)
01:15:30	179/179	---M--	403	error ('Forbidden')	text/html	date:Sun,%2015%20Mar%202026%2019:45:31%20GMT	https://www.magnum4d.my/assets/images/nav-arrow-right.svg	www.magnum4d.my/assets/images/nav-arrow-right.svg	(from https://www.magnum4d.my/)
01:15:31	179/179	---M--	403	error ('Forbidden')	text/html	date:Sun,%2015%20Mar%202026%2019:45:32%20GMT	https://www.magnum4d.my/assets/images/outline-plus.svg	www.magnum4d.my/assets/images/outline-plus.svg	(from https://www.magnum4d.my/)
01:15:32	179/179	---M--	403	error ('Forbidden')	text/html	date:Sun,%2015%20Mar%202026%2019:45:33%20GMT	https://www.magnum4d.my/assets/images/coin.svg	www.magnum4d.my/assets/images/coin.svg	(from https://www.magnum4d.my/)
01:15:33	179/179	---M--	403	error ('Forbidden')	text/html	date:Sun,%2015%20Mar%202026%2019:45:34%20GMT	https://www.magnum4d.my/assets/images/share/facebook.svg	www.magnum4d.my/assets/images/share/facebook.svg	(from https://www.magnum4d.my/)
01:15:34	179/179	---M--	403	error ('Forbidden')	text/html	date:Sun,%2015%20Mar%202026%2019:45:35%20GMT	https://www.magnum4d.my/assets/images/share/whatsapp.svg	www.magnum4d.my/assets/images/share/whatsapp.svg	(from https://www.magnum4d.my/)
01:15:35	179/179	---M--	403	error ('Forbidden')	text/html	date:Sun,%2015%20Mar%202026%2019:45:36%20GMT	https://www.magnum4d.my/assets/images/share/telegram.svg	www.magnum4d.my/assets/images/share/telegram.svg	(from https://www.magnum4d.my/)
01:15:36	179/179	---M--	403	error ('Forbidden')	text/html	date:Sun,%2015%20Mar%202026%2019:45:37%20GMT	https://www.magnum4d.my/assets/images/share/more.svg	www.magnum4d.my/assets/images/share/more.svg	(from https://www.magnum4d.my/)
01:15:37	179/179	---M--	403	error ('Forbidden')	text/html	date:Sun,%2015%20Mar%202026%2019:45:38%20GMT	https://www.magnum4d.my/assets/images/arrow-left.svg	www.magnum4d.my/assets/images/arrow-left.svg	(from https://www.magnum4d.my/)
01:15:38	179/179	---M--	403	error ('Forbidden')	text/html	date:Sun,%2015%20Mar%202026%2019:45:39%20GMT	https://www.magnum4d.my/assets/images/share/copy-link.svg	www.magnum4d.my/assets/images/share/copy-link.svg	(from https://www.magnum4d.my/)
01:15:39	179/179	---M--	403	error ('Forbidden')	text/html	date:Sun,%2015%20Mar%202026%2019:45:40%20GMT	https://www.magnum4d.my/assets/images/share/email.svg	www.magnum4d.my/assets/images/share/email.svg	(from https://www.magnum4d.my/)
01:15:40	179/179	---M--	403	error ('Forbidden')	text/html	date:Sun,%2015%20Mar%202026%2019:45:41%20GMT	https://www.magnum4d.my/assets/images/share/print.svg	www.magnum4d.my/assets/images/share/print.svg	(from https://www.magnum4d.my/)
01:15:41	179/179	---M--	403	error ('Forbidden')	text/html	date:Sun,%2015%20Mar%202026%2019:45:42%20GMT	https://www.magnum4d.my/assets/images/share/blogger.svg	www.magnum4d.my/assets/images/share/blogger.svg	(from https://www.magnum4d.my/)
01:15:42	179/179	---M--	403	error ('Forbidden')	text/html	date:Sun,%2015%20Mar%202026%2019:45:43%20GMT	https://www.magnum4d.my/assets/images/share/outlook.svg	www.magnum4d.my/assets/images/share/outlook.svg	(from https://www.magnum4d.my/)
01:15:43	179/179	---M--	403	error ('Forbidden')	text/html	date:Sun,%2015%20Mar%202026%2019:45:44%20GMT	https://www.magnum4d.my/assets/images/share/linkedin.svg	www.magnum4d.my/assets/images/share/linkedin.svg	(from https://www.magnum4d.my/)
01:15:44	179/179	---M--	403	error ('Forbidden')	text/html	date:Sun,%2015%20Mar%202026%2019:45:45%20GMT	https://www.magnum4d.my/assets/images/share/pinterest.svg	www.magnum4d.my/assets/images/share/pinterest.svg	(from https://www.magnum4d.my/)
01:15:45	179/179	---M--	403	error ('Forbidden')	text/html	date:Sun,%2015%20Mar%202026%2019:45:46%20GMT	https://www.magnum4d.my/assets/images/share/gmail.svg	www.magnum4d.my/assets/images/share/gmail.svg	(from https://www.magnum4d.my/)
01:15:46	179/179	---M--	403	error ('Forbidden')	text/html	date:Sun,%2015%20Mar%202026%2019:45:47%20GMT	https://www.magnum4d.my/assets/images/share/yahoo-mail.svg	www.magnum4d.my/assets/images/share/yahoo-mail.svg	(from https://www.magnum4d.my/)
01:15:47	179/179	---M--	403	error ('Forbidden')	text/html	date:Sun,%2015%20Mar%202026%2019:45:48%20GMT	https://www.magnum4d.my/assets/images/share/twitter.svg	www.magnum4d.my/assets/images/share/twitter.svg	(from https://www.magnum4d.my/)
01:15:48	179/179	---M--	403	error ('Forbidden')	text/html	date:Sun,%2015%20Mar%202026%2019:45:49%20GMT	https://www.magnum4d.my/assets/images/share/messenger.svg	www.magnum4d.my/assets/images/share/messenger.svg	(from https://www.magnum4d.my/)
01:15:49	179/179	---M--	403	error ('Forbidden')	text/html	date:Sun,%2015%20Mar%202026%2019:45:50%20GMT	https://www.magnum4d.my/assets/images/share/reddit.svg	www.magnum4d.my/assets/images/share/reddit.svg	(from https://www.magnum4d.my/)
01:15:50	179/179	---M--	403	error ('Forbidden')	text/html	date:Sun,%2015%20Mar%202026%2019:45:51%20GMT	https://www.magnum4d.my/assets/images/share/threads.svg	www.magnum4d.my/assets/images/share/threads.svg	(from https://www.magnum4d.my/)
01:15:51	179/179	---M--	403	error ('Forbidden')	text/html	date:Sun,%2015%20Mar%202026%2019:45:52%20GMT	https://www.magnum4d.my/assets/images/illust/wang-mao-draw.svg	www.magnum4d.my/assets/images/illust/wang-mao-draw.svg	(from https://www.magnum4d.my/)
01:15:52	179/179	---M--	403	error ('Forbidden')	text/html	date:Sun,%2015%20Mar%202026%2019:45:53%20GMT	https://www.magnum4d.my/assets/images/illust/draw-machine.svg	www.magnum4d.my/assets/images/illust/draw-machine.svg	(from https://www.magnum4d.my/)
01:15:53	179/179	---M--	403	error ('Forbidden')	text/html	date:Sun,%2015%20Mar%202026%2019:45:54%20GMT	https://www.magnum4d.my/assets/images/illust/draw-result.svg	www.magnum4d.my/assets/images/illust/draw-result.svg	(from https://www.magnum4d.my/)
01:15:54	179/179	---M--	403	error ('Forbidden')	text/html	date:Sun,%2015%20Mar%202026%2019:45:55%20GMT	https://www.magnum4d.my/assets/images/illust/wang-mao-press-button.svg	www.magnum4d.my/assets/images/illust/wang-mao-press-button.svg	(from https://www.magnum4d.my/)
01:15:55	179/179	---M--	403	error ('Forbidden')	text/html	date:Sun,%2015%20Mar%202026%2019:45:56%20GMT	https://www.magnum4d.my/assets/images/illust/wang-mao-office.svg	www.magnum4d.my/assets/images/illust/wang-mao-office.svg	(from https://www.magnum4d.my/)
01:15:56	179/179	---M--	403	error ('Forbidden')	text/html	date:Sun,%2015%20Mar%202026%2019:45:57%20GMT	https://www.magnum4d.my/assets/images/refresh.svg	www.magnum4d.my/assets/images/refresh.svg	(from https://www.magnum4d.my/)
01:15:57	179/179	---M--	403	error ('Forbidden')	text/html	date:Sun,%2015%20Mar%202026%2019:45:58%20GMT	https://www.magnum4d.my/assets/images/copy.svg	www.magnum4d.my/assets/images/copy.svg	(from https://www.magnum4d.my/)
